"Id","Date Created","Shot > Sequence","Shot > Description","Motion description","Project",
"134373","2025/03/31 15:13:40","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Sitting on the ground on the knees, bending forward and back from the spine, reading from a book to summon a demon.","crs",
"134372","2025/03/31 15:12:25","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Looking for a place to sit on the ground. Sitting on the ground on both knees. Grabbing a book in both hands and open to read from it to summon a demon.","crs",
"134371","2025/03/31 15:10:45","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Summoning a demon, arranging objects. Bending forward to grab an object from the ground and then positioning it elsewhere. Moving another object to a new location, walking forward, slowly and thinking.","crs",
"134370","2025/03/31 15:09:07","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Making a step forward to put an item on the ground and then continue walking forward with small steps, looking down, walking slowly","crs",
"134368","2025/03/31 15:08:39","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Walking forward looking down, holding an item in both hands, bending down and crouching to carefully put the item on the ground.","crs",
"134367","2025/03/31 15:08:02","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Preparing to summon a demon. Walking in a circle, bending down and drawing something on the ground with the right hand. Walking slowly and looking down.","crs",
"134366","2025/03/31 15:06:47","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person in front of a campfire crouched, leans back, puts hands in front of face to protect from the smoke","crs",
"134365","2025/03/31 15:06:05","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person in front of a campfire crawling and checking the fire, annoyed that it's not burning strongly","crs",
"134364","2025/03/31 15:03:34","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person sitting in front of a campfire preparing food and putting it to cook in the ember","crs",
"134363","2025/03/31 15:01:22","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person sitting in front of a campfire heating marshmallows with a stick","crs",
"134362","2025/03/31 14:58:17","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person sitting in front of a campfire preparing food and sticking it on a shish","crs",
"134361","2025/03/31 14:56:30","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, kneeling on the ground, holds a brick with his left hand, picks up cement with his right hand with a spatula, puts the cement on the brick, glues the brick onto the other bricks","crs",
"134360","2025/03/31 14:54:11","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, kneels on the ground, presses the brick onto the other bricks with his left hand, puts cement on the side with his right hand","crs",
"134358","2025/03/31 14:53:08","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, standing crouched on the ground, holding a brick with his left hand, mixing cement with his right hand and placing it on the brick, the brick is placed on top of the other bricks","crs",
"134357","2025/03/31 14:50:54","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, stands crouched on the ground, with his right hand puts cement on the brick, which he holds with his left hand, plasters the cement with a spatula, places the brick on top of the other bricks","crs",
"134356","2025/03/31 14:50:04","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person crouching in front of campfire warming hands and feeling the heat","crs",
"134355","2025/03/31 14:48:06","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, stands crouched on the ground, mixes cement with his right hand and puts it on the brick he is holding with his left hand, plasters the cement on the brick and places the brick on top of the other bricks","crs",
"134354","2025/03/31 14:47:03","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person standing in front of campfire, yawning with a strong gesture of stretching arms around, then crouching down","crs",
"134353","2025/03/31 14:45:49","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, squats on the ground, puts cement on the brick, glues the brick on top of the other bricks","crs",
"134352","2025/03/31 14:45:01","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person feeling cold standing in front of campfire with arms crossed, extending hands to warm them, rubbing hands together and extending again","crs",
"134350","2025/03/31 14:43:15","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, squats on the ground, takes cement with the spatula and puts it on the brick, then puts the brick on top of the other bricks","crs",
"134349","2025/03/31 14:42:16","2025-03-28","Different activities around the fire - Getting warm, warming hands, reacting to smoke/flowing ashes, fixing fire, burrying food in ember, sitting by the fire, making shish, talking to friends","Person walking around campfire","crs",
"134348","2025/03/31 14:41:29","2025-03-28","Building with bricks - on the groun, mixing cement, putting cement on bricks, arranging them","building with bricks, standing crouched on the ground, mixing cement with a spatula","crs",
"134345","2025/03/31 13:30:25","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Walking backward and forward, saying something to the microphone and then pointing it to the audience. Trying to hear the audience sing. Turning and dancing, shaking head, swinging arms.","crs",
"134343","2025/03/31 13:27:09","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Jumping while singing, walking left and bending down to lift up right arm with the microphone up in the air to the audience. Swinging left arm and moving it to the rhythm of the song.","crs",
"134342","2025/03/31 13:25:31","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Jumping in place with right hand holding the microphone and left hand swinging in the air. Dancing to the rhythm of the song.","crs",
"134341","2025/03/31 13:24:24","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Bending with left foot forward and pointing the microphone to the crowd to hear them sing. Performing with less energy and a bit tired.","crs",
"134340","2025/03/31 13:21:50","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Moving forward with small steps, standing in place and putting right arm with the microphone up in the air to hear the crowd. Moving backwards, jumping and bending to sing.","crs",
"134339","2025/03/31 13:19:27","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing bent over and assembling a piece of furniture","crs",
"134338","2025/03/31 13:19:19","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Singing in place, moving forward and back with small steps and following the rhythm of the song, Handing over the microphone between both hands.","crs",
"134337","2025/03/31 13:18:06","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing crouched on the ground and assembling a piece of furniture","crs",
"134336","2025/03/31 13:16:39","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing crouched and bent over on the ground, assembling a piece of furniture by turning it with a screwdriver from the side","crs",
"134335","2025/03/31 13:16:08","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Jumping in place and bending down as moving forward, really enjoying this part of the song, dancing to the rhythm, moving back and standing in place, playful movements with the left arm.","crs",
"134334","2025/03/31 13:14:46","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing crouched and bent over on the ground, assembling a piece of furniture with a screwdriver from the top","crs",
"134333","2025/03/31 13:13:48","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing crouched and bent on the ground, turning a screw with a screwdriver, slow","crs",
"134332","2025/03/31 13:12:52","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Walking back, singing in place, holding right arm close to the chest, turning around and walking back with small steps. Crossing feet infront of each other and moving is circles.","crs",
"134331","2025/03/31 13:12:49","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing crouched and bent on the ground, turning a bolt with a wrench, fast","crs",
"134330","2025/03/31 13:11:35","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing bent over, turning a bolt with a wrench","crs",
"134329","2025/03/31 13:10:43","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Walking forward, bending down, pointing with the left arm, turning in place, walking back and singing","crs",
"134328","2025/03/31 13:10:31","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, standing bent over, assembling furniture with a tool","crs",
"134325","2025/03/31 13:09:18","2025-03-28","Using screwdriver/wrench (imagined), Tightening fasteners, Showing confusion/frustration, Showing satisfaction.","assembling-furniture, stands bent over and checks where a part needs to be installed","crs",
"134324","2025/03/31 13:08:50","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Dancing and singing. Standing in place and moving the left arm while holding the microphone in the right arm.","crs",
"134323","2025/03/31 13:05:38","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Dancing while singing, moving hands and feet to the rhythm of the music. Enjoying the sound and happily moving around.","crs",
"134322","2025/03/31 13:02:35","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Walking forward, backward, sideways while singing with the microphone in right hand. Moving, turning and twisting the body to the rhythm, singing a happy song.","crs",
"134321","2025/03/31 12:58:52","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Walking forward and starting to sing. Holding the microphone in the right hand and dancing with the left hand. Standing in place for a bit and moving again to the rhythm of the sound.","crs",
"134320","2025/03/31 12:56:32","2025-03-25","Singing: Singing with microphone, Singing without microphone, Singing high notes, Singing low notes, Holding a note, Belting, Harmonizing, Singing with emotion, Singing a cappella.","Walking around in an uplifting mood, turning, moving to the rhythm of the music, preparing to start singing.","crs",
"134315","2025/03/31 12:09:59","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person pouring fuel over a pile of wood, lighting a match and throwing it start the camp fire, takes a step back and hides face to protect it from the fire","crs",
"134314","2025/03/31 12:07:28","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person waving a piece of cardboard to blow air towards a camp fire to further ignite it, takes a step back and protects face from smoke","crs",
"134313","2025/03/31 12:04:35","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","person leaning down, grabbing small things from the floor to throw into the fire in a campfire","crs",
"134311","2025/03/31 12:03:12","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person waving a piece of cardboard to blow air towards a camp fire to keep it burning","crs",
"134310","2025/03/31 12:02:24","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person crouching blowing into a campfire to revive fire, gets smoke in eyes and waves hand to remove smoke","crs",
"134309","2025/03/31 12:00:58","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person grabbing gathering leafs from around the floor to prepare a campfire, putting them into the fire","crs",
"134308","2025/03/31 11:58:56","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person starting a camp fire, on the ground on his knees, lighting up a match and using it to inflame different parts of the arranged wood","crs",
"134301","2025/03/31 11:54:07","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person kneeling down grabbing things around to throw into a campfire","crs",
"134296","2025/03/31 11:51:48","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is ready with the client and takes off the towel from their neck. Shakes it off from any hair and walks around to put it back on the other side of the table.","crs",
"134295","2025/03/31 11:51:09","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person kneeling down preparing space to do a campfire","crs",
"134294","2025/03/31 11:50:33","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser grabs a hair tie from the table and walks around the customer to tie their hair in a tail behind. Touching the hair with both hands and styling it.","crs",
"134293","2025/03/31 11:50:19","2025-03-28","Gathering tinder/kindling, Arranging wood, Using matches/lighter, Blowing gently on embers, Reacting to catching fire/failing, Blowing with cardboard","Person kneeling down in front of a campfire","crs",
"134291","2025/03/31 11:48:07","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is touching the client's hair with the left hand and straightening it with a hairstraightener in the right hand. Talking to the client and looking at the result from a distance.","crs",
"134289","2025/03/31 11:45:38","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is getting ready to use the hair straightener, carefully picking up strands and slowly going over them careful not to burn the hair.","crs",
"134287","2025/03/31 11:42:38","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser puts something on the table and prepares to straighten the clients long hair. Plugs in the cable of the hairstaightener and walks to the client","crs",
"134285","2025/03/31 11:41:12","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is trimming someones hair and talking to the client. Carefully trimming and bend down a bit.","crs",
"134282","2025/03/31 11:39:39","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser turns around to ask the client something, then grabs a hair trimmer from the table and walks to the back of the client to trim their hair.","crs",
"134280","2025/03/31 11:38:30","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is pointing forward while talking to the client.Then removes the hairpins from their hair and prepares it for styling","crs",
"134279","2025/03/31 11:37:43","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is combing the hair with the fingers on the left hand and carefully cutting the split edges with the scissors. Then stands up to put the scissors on the nearby table.","crs",
"134277","2025/03/31 11:36:17","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is bending down to cut the bottom hair layer with the right hand holding the scissors and standing back up to see the result.","crs",
"134275","2025/03/31 11:35:23","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser leans forward to grab the hairbrush from the table and starts brushing the customer's bottom layers.","crs",
"134273","2025/03/31 11:33:56","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is picking up stands to cut, talking to the customer and standing relatively in place, making small steps.","crs",
"134272","2025/03/31 11:32:52","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is cutting hair strands with the scissors in the right hand. Moving slightly around the customer and working very carefully.","crs",
"134270","2025/03/31 11:30:47","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is measuring how much to cut from the customer's hair. talking to them and moving on the another hair strand.","crs",
"134268","2025/03/31 11:29:03","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser bends down to grab a scissors dropped on the floor and is trying to figure out how and where to start cutting the hair. Combing the hair with the left hand while holding the scissors in the right hand.","crs",
"134266","2025/03/31 11:22:32","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","The hairdresser is standing next to the table and walks to the customer. Starts putting hairpins in someones hair preparing it for a haircut.","crs",
"134264","2025/03/31 11:14:45","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser is brushing someone's hair. crouching and bending down a bit for the endings and then walks to the table to put the brush down.","crs",
"134263","2025/03/31 11:11:01","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser is carefully and slowly brushing someone's hair with the right hand and assisting with the left hand by holding the hair.","crs",
"134261","2025/03/31 11:04:18","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser bends down a bit to grab a hair brush from the table.","crs",
"134260","2025/03/31 11:03:24","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser makes a step forward closer to the table to grab a water spray bottle and starts spraying the customer's hair from all angles. Holding the bottle with the right hand and combing the hair with the fingers on the left hand.","crs",
"134259","2025/03/31 11:02:21","2025-03-25","Zombie walking, sudden movements, Attacking","Zombie walking forward very slow while looking down and suddenly paralyzing shoving arms up","crs",
"134258","2025/03/31 11:00:42","2025-03-25","Zombie walking, sudden movements, Attacking","Zombie angry making a roar, waving arms up, while staying in place","crs",
"134256","2025/03/31 10:59:58","2025-03-25","Zombie walking, sudden movements, Attacking","Zombie walking forward with arms and head looking down, suddenly looking up and extending hand to reach somebody","crs",
"134255","2025/03/31 10:59:43","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser takes the hair of the customer and plays with it a bit, preparing to give a haircut. Touching the hair with both hands, combing it with fingers and analyzing its length.","crs",
"134252","2025/03/31 10:55:39","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser grabs a towel from the table, shakes it down and puts it carefully around the customer's neck.","crs",
"134251","2025/03/31 10:54:36","2025-03-25","Zombie walking, sudden movements, Attacking","Zombie walking backwards with bent knees, taking a few steps back, reacting to threat","crs",
"134250","2025/03/31 10:53:16","2025-03-25","Zombie walking, sudden movements, Attacking","Zombie walking forward, struggling to balance,  waving arms around","crs",
"134247","2025/03/31 10:51:05","2025-03-25","Zombie walking, sudden movements, Attacking","Zombie walking forward, with arms reaching forward","crs",
"134246","2025/03/31 10:49:59","2025-03-25","Zombie walking, sudden movements, Attacking","Zombie walking forward, with arms pointing ahead and moving them around, making an effort to walk faster","crs",
"134245","2025/03/31 10:49:55","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser is asking new customer to sit down on the chair by pointing it with the left hand. Walks around the chair and back.","crs",
"134244","2025/03/31 10:47:38","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser is standing in one place and talking to the customer. Makes a step right. Mimicking with the hands.","crs",
"134242","2025/03/31 10:45:49","2025-03-25","Cutting hair: Sectioning hair, Using scissors, Using clippers, Combing hair, Styling hair, Applying product, Showing client result.","Hairdresser welcoming new customer. Walking to the chair and talking to someone while leaning on both hands.","crs",
"134172","2025/03/28 18:07:46","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person sitting on grass legs crossed meditating in nature","crs",
"134171","2025/03/28 18:05:26","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person laying down getting ready to meditate, crossing legs and shoving arms around","crs",
"134169","2025/03/28 18:03:19","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person in nature laying on grass waking up and looking the sky","crs",
"134168","2025/03/28 18:02:03","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person in nature laying down on grass sleeping","crs",
"134167","2025/03/28 17:58:29","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person in nature laying down in grass feeling the sun rays hit","crs",
"134166","2025/03/28 17:54:53","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person crouched in nature caressing grass around and laying on grass","crs",
"134165","2025/03/28 17:51:42","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person in nature crouching on grass, caressing plans turning around","crs",
"134164","2025/03/28 17:50:32","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person feeling wonderful, walking around nature, feeling inspirational","crs",
"134163","2025/03/28 17:49:52","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person in nature leaning on tree, hugging tree","crs",
"134161","2025/03/28 17:46:55","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person approaching tree, caressing tree showing appreciation","crs",
"134159","2025/03/28 17:44:01","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person connecting to nature with arms wide open, crossing hands behind head, taking deep breaths","crs",
"134156","2025/03/28 17:41:05","2025-03-25","Closing eyes, Breathing deeply, Reaching out to touch a tree/ground (optional), Feeling a connection, Receiving a vision/message (shown through facial expressions).","Person walking around nature opening arms wide, connecting to nature, feeling the air","crs",
